City_ID,City,Country,Date,Lat,Lng,Overall Weather,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
108,Mabaruma,GY,2020-01-14 19:23:47,8.2,-59.78,Rain,moderate rain,78.8,92,45,4.41,4.5,0.0
109,Sechura,PE,2020-01-14 19:23:47,-5.56,-80.82,Clouds,broken clouds,69.62,93,51,14.34,0.0,0.0
110,Barrow,US,2020-01-14 19:23:47,71.29,-156.79,Snow,snow,5.0,84,90,27.51,0.0,0.0
111,Tuatapere,NZ,2020-01-14 19:23:48,-46.13,167.68,Clouds,scattered clouds,51.01,95,49,1.99,0.0,0.0
112,Alofi,NU,2020-01-14 19:23:48,-19.06,-169.92,Rain,light rain,75.2,94,99,9.17,2.38,0.0
113,Makaryev,RU,2020-01-14 19:23:48,57.88,43.81,Clouds,overcast clouds,29.59,89,100,8.59,0.0,0.0
114,Vestmanna,FO,2020-01-14 19:23:48,62.16,-7.17,Snow,light snow,39.2,80,94,24.16,0.0,0.5
115,Talcahuano,CL,2020-01-14 19:23:03,-36.72,-73.12,Clear,clear sky,69.8,64,0,21.92,0.0,0.0
116,Udachnyy,RU,2020-01-14 19:23:49,66.42,112.4,Clouds,broken clouds,-13.0,75,52,4.47,0.0,0.0
117,Marawi,PH,2020-01-14 19:23:49,8.0,124.29,Clouds,overcast clouds,75.0,88,93,4.0,0.0,0.0
118,Khani,GE,2020-01-14 19:23:49,41.96,42.96,Clouds,overcast clouds,35.6,55,87,2.24,0.0,0.0
119,Singaraja,ID,2020-01-14 19:23:49,-8.11,115.09,Clear,clear sky,82.72,74,6,2.64,0.0,0.0
120,Charters Towers,AU,2020-01-14 19:23:50,-20.1,146.27,Clouds,few clouds,72.66,95,18,5.88,0.0,0.0
121,Isangel,VU,2020-01-14 19:23:50,-19.55,169.27,Clouds,broken clouds,77.0,88,75,20.51,0.0,0.0
122,Awbari,LY,2020-01-14 19:23:50,26.59,12.78,Clouds,broken clouds,48.04,53,60,8.52,0.0,0.0
123,Montlucon,FR,2020-01-14 19:23:50,46.33,2.6,Clouds,overcast clouds,50.0,65,100,9.44,0.0,0.0
124,Buraydah,SA,2020-01-14 19:23:51,26.33,43.98,Clear,clear sky,50.0,53,0,9.17,0.0,0.0
125,Pangnirtung,CA,2020-01-14 19:23:51,66.15,-65.71,Clouds,scattered clouds,-22.0,67,40,2.46,0.0,0.0
126,Atuona,PF,2020-01-14 19:23:51,-9.8,-139.03,Clear,clear sky,81.43,74,0,20.04,0.0,0.0
127,Leningradskiy,RU,2020-01-14 19:23:51,69.38,178.42,Clear,clear sky,-13.74,71,0,2.26,0.0,0.0
128,Dayong,CN,2020-01-14 19:23:52,25.02,118.29,Clouds,scattered clouds,57.2,76,40,13.42,0.0,0.0
129,Tual,ID,2020-01-14 19:23:52,-5.67,132.75,Rain,light rain,82.9,79,55,10.49,1.62,0.0
130,Itarema,BR,2020-01-14 19:23:52,-2.92,-39.92,Rain,light rain,87.1,60,49,11.05,2.69,0.0
131,Mar Del Plata,AR,2020-01-14 19:20:10,-38.0,-57.56,Clouds,broken clouds,93.99,58,75,16.11,0.0,0.0
132,Qaanaaq,GL,2020-01-14 19:23:52,77.48,-69.36,Clouds,broken clouds,-13.18,59,62,4.34,0.0,0.0
133,Faya,SA,2020-01-14 19:23:53,18.39,42.45,Clear,clear sky,57.2,19,0,11.41,0.0,0.0
134,Sovetskiy,RU,2020-01-14 19:23:53,61.36,63.58,Clouds,overcast clouds,-4.65,82,92,3.62,0.0,0.0
135,Yellowknife,CA,2020-01-14 19:23:53,62.46,-114.35,Mist,mist,-32.8,66,75,2.24,0.0,0.0
136,Adrar,MR,2020-01-14 19:23:53,20.5,-10.07,Clouds,broken clouds,64.56,16,63,10.74,0.0,0.0
137,Goderich,CA,2020-01-14 19:23:54,43.75,-81.72,Clouds,scattered clouds,37.99,92,49,5.01,0.0,0.0
138,Beaverlodge,CA,2020-01-14 19:23:54,55.22,-119.44,Clouds,broken clouds,-25.6,67,75,6.93,0.0,0.0
139,Nantucket,US,2020-01-14 19:23:54,41.28,-70.1,Clouds,overcast clouds,44.6,86,90,6.93,0.0,0.0
