City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
166,Burkburnett,US,2020-01-07 20:46:06,34.1,-98.57,66.2,20,1,13.87
167,Port Hardy,CA,2020-01-07 20:42:06,50.7,-127.42,44.6,93,75,18.34
168,Tiksi,RU,2020-01-07 20:46:06,71.64,128.87,-9.85,89,93,4.47
169,Atbasar,KZ,2020-01-07 20:46:07,51.81,68.36,8.26,94,100,2.19
170,Sinjar,SY,2020-01-07 20:46:07,35.59,37.0,47.12,87,94,3.36
171,Nukus,UZ,2020-01-07 20:46:07,42.46,59.61,15.8,85,13,2.24
172,Honiara,SB,2020-01-07 20:46:07,-9.43,159.96,77.0,94,75,2.24
173,Sibay,RU,2020-01-07 20:46:08,52.72,58.67,11.44,96,95,2.84
174,Bubaque,GW,2020-01-07 20:46:08,11.28,-15.83,77.59,61,2,13.96
175,Nioro,GM,2020-01-07 20:46:08,13.79,-15.05,71.04,9,67,11.52
176,Cheney,US,2020-01-07 20:43:39,47.49,-117.58,46.99,93,40,12.75
177,Sosnovo-Ozerskoye,RU,2020-01-07 20:46:09,52.53,111.54,-7.78,99,67,5.23
178,Uthal,PK,2020-01-07 20:46:09,25.81,66.62,62.64,75,22,2.28
179,Dakar,SN,2020-01-07 20:42:07,14.69,-17.45,69.8,56,3,9.17
180,Flinders,AU,2020-01-07 20:46:09,-34.58,150.85,71.01,73,75,11.41
181,Katangli,RU,2020-01-07 20:46:10,51.71,143.23,8.35,91,81,6.93
182,Atambua,ID,2020-01-07 20:46:10,-9.11,124.89,74.64,86,72,2.98
183,Kupang,ID,2020-01-07 20:46:10,-10.16,123.6,82.76,79,100,12.33
184,Jinchang,CN,2020-01-07 20:46:10,38.52,102.19,18.07,62,100,2.17
185,Narsaq,GL,2020-01-07 20:46:10,60.91,-46.05,8.6,71,75,4.7
186,San Quintin,PH,2020-01-07 20:46:11,17.54,120.52,68.68,88,33,3.71
187,Camopi,GF,2020-01-07 20:46:11,3.17,-52.33,75.94,96,68,3.8
188,Yumen,CN,2020-01-07 20:46:11,40.29,97.04,13.5,69,57,5.73
189,Pangkalanbuun,ID,2020-01-07 20:46:11,-2.68,111.62,74.59,96,100,1.86
190,Ngunguru,NZ,2020-01-07 20:46:11,-35.62,174.5,64.0,67,20,4.0
191,Santa Isabel,MX,2020-01-07 20:46:12,32.63,-115.58,69.8,11,40,6.93
192,Pekan,MY,2020-01-07 20:46:12,3.49,103.39,75.2,94,20,4.7
193,Kruisfontein,ZA,2020-01-07 20:46:13,-34.0,24.73,67.6,93,99,8.88
194,Chokurdakh,RU,2020-01-07 20:46:13,70.62,147.9,-24.77,95,0,5.23
195,Colares,PT,2020-01-07 20:46:13,38.8,-9.45,51.8,81,0,9.17
196,Mayaky,UA,2020-01-07 20:46:13,47.44,29.56,26.24,80,0,6.13
197,Las Vegas,US,2020-01-07 20:44:30,36.17,-115.15,57.99,22,1,6.93
198,Port Lincoln,AU,2020-01-07 20:46:14,-34.72,135.86,66.83,69,0,6.04
